# The Reference Fusion gene pairs ====> COSMIC,ChimerDB,TICdb,CobjoinG,FareCafe 
# The Gene sequence of Fusion gene pairs ======> Ensembl 
# Updated: 2018.12.26 
SQSTM1-ALK	SQSTM1	ALK
SRGAP3-RAF1	SRGAP3	RAF1
DAZL-RAF1	DAZL	RAF1
RARA-STAT5B	RARA	STAT5B
STRN-PDGFRA	STRN	PDGFRA
RHOA-TAL1	RHOA	TAL1
STIL-TAL1	STIL	TAL1
TCEA1-PLAG1	TCEA1	PLAG1
FGFR1-PLAG1	FGFR1	PLAG1
TCF3-TFPT	TCF3	TFPT
TFRC-BCL6	TFRC	BCL6
TP53BP1-PDGFRB	TP53BP1	PDGFRB
TPM3-PDGFRB	TPM3	PDGFRB
FGFR1-TRIM24	FGFR1	TRIM24
WDR48-PDGFRB	WDR48	PDGFRB
ABL1-ZMIZ1	ABL1	ZMIZ1
KIAA1549L-RUNX1	KIAA1549L	RUNX1
NAB2-STAT6	NAB2	STAT6
RARA-NABP1	RARA	NABP1
ACBD6-RRP15	ACBD6	RRP15
AGPAT5-MCPH1	AGPAT5	MCPH1
ARFIP1-FHDC1	ARFIP1	FHDC1
GPBP1L1-MAST2	GPBP1L1	MAST2
ARID1A-MAST2	ARID1A	MAST2
ATG4C-FBXO38	ATG4C	FBXO38
BBS9-PKD1L1	BBS9	PKD1L1
WDCP-ALK	WDCP	ALK
DCTN1-ALK	DCTN1	ALK
DCTN1-SLC4A5	DCTN1	SLC4A5
CD74-NRG1	CD74	NRG1
CDKN2D-WDFY2	CDKN2D	WDFY2
CEP89-BRAF	CEP89	BRAF
CLCN6-BRAF	CLCN6	BRAF
MIA2-GEMIN2	MIA2	GEMIN2
DDX5-ETV4	DDX5	ETV4
DHH-RHEBL1	DHH	RHEBL1
DNAJB1-PRKACA	DNAJB1	PRKACA
EIF3E-RSPO2	EIF3E	RSPO2
EIF3K-CYP39A1	EIF3K	CYP39A1
ERC1-RET	ERC1	RET
ERO1A-FERMT2	ERO1A	FERMT2
EWSR1-NFATC1	EWSR1	NFATC1
EWSR1-YY1	EWSR1	YY1
EWSR1-ZNF384	EWSR1	ZNF384
EZR-ROS1	EZR	ROS1
FAM131B-BRAF	FAM131B	BRAF
FBXL18-RNF216	FBXL18	RNF216
FGFR1-ZMYM2	FGFR1	ZMYM2
FGFR1-ZNF703	FGFR1	ZNF703
FGFR1-TACC1	FGFR1	TACC1
FN1-ALK	FN1	ALK
GATM-BRAF	GATM	BRAF
GMDS-PDE8B	GMDS	PDE8B
GNAI1-BRAF	GNAI1	BRAF
HACL1-RAF1	HACL1	RAF1
HERPUD1-BRAF	HERPUD1	BRAF
HIP1-ALK	HIP1	ALK
SUMO2-JPT1	SUMO2	JPT1
USH1G-JPT1	USH1G	JPT1
IL6R-ATP8B2	IL6R	ATP8B2
INTS4-GAB2	INTS4	GAB2
IRF2BP2-CDX1	IRF2BP2	CDX1
SHTN1-ROS1	SHTN1	ROS1
KLC1-ALK	KLC1	ALK
KLK2-ETV1	KLK2	ETV1
ACTN4-KMT2A	ACTN4	KMT2A
AFF4-SEPT8	AFF4	SEPT8
BTBD18-KMT2A	BTBD18	KMT2A
CT45A2-KMT2A	CT45A2	KMT2A
NRIP3-KMT2A	NRIP3	KMT2A
PDS5A-KMT2A	PDS5A	KMT2A
PRRC1-KMT2A	PRRC1	KMT2A
TOP3A-KMT2A	TOP3A	KMT2A
TP53-NTRK1	TP53	NTRK1
LMNA-NTRK1	LMNA	NTRK1
LRIG3-ROS1	LRIG3	ROS1
LSM14A-BRAF	LSM14A	BRAF
MARK4-ERCC2	MARK4	ERCC2
MBOAT2-PRKCE	MBOAT2	PRKCE
MBTD1-CXorf67	MBTD1	CXorf67
MKRN1-BRAF	MKRN1	BRAF
MYO5A-ROS1	MYO5A	ROS1
QKI-NTRK2	QKI	NTRK2
NACC2-NTRK2	NACC2	NTRK2
NF1-ASIC2	NF1	ASIC2
NFIA-EHF	NFIA	EHF
NFIX-MAST1	NFIX	MAST1
ZNF700-MAST1	ZNF700	MAST1
TADA2A-MAST1	TADA2A	MAST1
NTN1-ACLY	NTN1	ACLY
NUP107-LGR5	NUP107	LGR5
PLA2R1-RBMS1	PLA2R1	RBMS1
PLXND1-TMCC1	PLXND1	TMCC1
PPFIBP1-ALK	PPFIBP1	ALK
PPFIBP1-ROS1	PPFIBP1	ROS1
PTPRK-RSPO3	PTPRK	RSPO3
RBM14-PACS1	RBM14	PACS1
RGS22-SYCP1	RGS22	SYCP1
RNF130-BRAF	RNF130	BRAF
SLC22A1-CUTA	SLC22A1	CUTA
SLC26A6-PRKAR2A	SLC26A6	PRKAR2A
SND1-BRAF	SND1	BRAF
STRN-ALK	STRN	ALK
SUSD1-PTBP3	SUSD1	PTBP3
TBL1XR1-TP63	TBL1XR1	TP63
TECTA-TBCEL	TECTA	TBCEL
UBE2L3-KRAS	UBE2L3	KRAS
VCL-ALK	VCL	ALK
YWHAE-NUTM2A	YWHAE	NUTM2A
YWHAE-NUTM2B	YWHAE	NUTM2B
ZSCAN30-BRAF	ZSCAN30	BRAF
EXO5-ZNF684	EXO5	ZNF684
ARL2-SNX15	ARL2	SNX15
MAPK12-HDAC10	MAPK12	HDAC10
C1QTNF3-AMACR	C1QTNF3	AMACR
FBXO16-ZNF395	FBXO16	ZNF395
CRIP1-TEDC1	CRIP1	TEDC1
SMIM7-MED26	SMIM7	MED26
SIKE-CSDE1	SIKE	CSDE1
NDUFA9-GALNT8	NDUFA9	GALNT8
PRR13-PCBP2	PRR13	PCBP2
BDH2-SLC9B2	BDH2	SLC9B2
LMAN2-MXD3	LMAN2	MXD3
RAB24-MXD3	RAB24	MXD3
TMX2-CTNND1	TMX2	CTNND1
BIVM-ERCC5	BIVM	ERCC5
